scenario,param,value,notes
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Construction_months.distribution,normal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Construction_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Construction_months.max,20,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Construction_months.max,20,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Construction_months.mean,12,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Construction_months.mean,12,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Construction_months.min,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Construction_months.min,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Construction_months.std,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Construction_months.std,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Definition_months.distribution,lognormal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Definition_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Definition_months.max,10,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Definition_months.max,10,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Definition_months.mean,6,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Definition_months.mean,6,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Definition_months.min,2,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Definition_months.min,2,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.Definition_months.std,2,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.Definition_months.std,2,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Battery.enabled,True,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Battery.enabled,True,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Approvals_months.distribution,lognormal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Approvals_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Approvals_months.max,20,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Approvals_months.max,20,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Approvals_months.mean,12,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Approvals_months.mean,12,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Approvals_months.min,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Approvals_months.min,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Approvals_months.std,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Approvals_months.std,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Construction_months.distribution,normal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Construction_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Construction_months.max,30,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Construction_months.max,30,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Construction_months.mean,18,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Construction_months.mean,18,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Construction_months.min,6,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Construction_months.min,6,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Construction_months.std,6,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Construction_months.std,6,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Definition_months.distribution,lognormal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Definition_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Definition_months.max,20,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Definition_months.max,20,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Definition_months.mean,12,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Definition_months.mean,12,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Definition_months.min,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Definition_months.min,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.Definition_months.std,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.Definition_months.std,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Gas Turbine.enabled,True,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Gas Turbine.enabled,True,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Approvals_months.distribution,lognormal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Approvals_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Approvals_months.max,20,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Approvals_months.max,20,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Approvals_months.mean,12,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Approvals_months.mean,12,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Approvals_months.min,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Approvals_months.min,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Approvals_months.std,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Approvals_months.std,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Construction_months.distribution,normal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Construction_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Construction_months.max,30,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Construction_months.max,30,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Construction_months.mean,18,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Construction_months.mean,18,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Construction_months.min,6,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Construction_months.min,6,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Construction_months.std,6,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Construction_months.std,6,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Definition_months.distribution,lognormal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Definition_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Definition_months.max,20,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Definition_months.max,20,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Definition_months.mean,12,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Definition_months.mean,12,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Definition_months.min,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Definition_months.min,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.Definition_months.std,4,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.Definition_months.std,4,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Solar.enabled,True,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Solar.enabled,True,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Approvals_months.distribution,lognormal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Approvals_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Approvals_months.max,60,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Approvals_months.max,60,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Approvals_months.mean,36,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Approvals_months.mean,36,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Approvals_months.min,15,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Approvals_months.min,15,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Approvals_months.std,10,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Approvals_months.std,10,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Construction_months.distribution,normal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Construction_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Construction_months.max,200,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Construction_months.max,200,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Construction_months.mean,120,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Construction_months.mean,120,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Construction_months.min,50,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Construction_months.min,50,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Construction_months.std,30,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Construction_months.std,30,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Definition_months.distribution,lognormal,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Definition_months.distribution,normal,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Definition_months.max,40,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Definition_months.max,40,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Definition_months.mean,24,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Definition_months.mean,24,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Definition_months.min,10,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Definition_months.min,10,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.Definition_months.std,8,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.Definition_months.std,8,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,distributions_config.Transmission.enabled,True,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,distributions_config.Transmission.enabled,True,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
Base-level Sequencing,durations_config.Battery.Approvals_months,6,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Battery.Approvals_months,6,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Battery.Approvals_months,6,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Battery.Approvals_months,6,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Battery.Approvals_months,6,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Battery.Construction_months,12,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Battery.Construction_months,12,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Battery.Construction_months,12,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Battery.Construction_months,12,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Battery.Construction_months,12,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Battery.Definition_months,6,"Baseline (no distributions, no attrition, no initial queue)"
PERFECT_COORDINATION,durations_config.Battery.Definition_months,6,"Perfect coordination baseline: sequencing-only DAGs (no interdependencies, no distributions, no attrition, no initial queue)"
S1_REAL_WORLD_2026_FRAGMENTED,durations_config.Battery.Definition_months,11,"Scenario 1: fragmented deployment (lognormal def/app, def multiplier, attrition, subtractive initial queue placeholders)"
S2_IRA_INCENTIVE_RUSH,durations_config.Battery.Definition_months,3,"Scenario 2: IRA incentive-driven rush (normal durations, faster definition, more FID solar, higher attrition, subtractive initial queue)"
S3_CHINA_COORDINATED,durations_config.Battery.Definition_months,3,"Scenario 3: coordinated deployment (deterministic durations, fast definition, high FID solar, very low attrition, big TX initial queue)"
Base-level Sequencing,durations_config.Gas Turbine.Approvals_months,12,"Baseline (no distributions, no attrition, no initial queue)"
